filename,sr,duration_s,snr_db,kurtosis,spectral_centroid,low_freq_energy_ratio,sample_entropy,autocorr_index,crest_factor
0001696.wav,4000,21.696,inf,123.6137481,804.5578874,0.164091081,0.003404985,0.36850377,24.04959249
0001697.wav,4000,21.888,inf,149.069345,410.9407726,0.397088736,0.013918412,0.70474249,35.76903579
0001698.wav,4000,20.304,inf,14.86894025,464.5017118,0.591692742,0.013053859,0.835831736,15.65988965
0001699.wav,4000,20.592,inf,136.0415929,415.3837563,0.452261455,0.002954376,0.233546109,25.14551004
0001700.wav,4000,20.352,inf,21.10382651,352.1704301,0.835025948,0.009896636,0.840890761,16.38224915
0001701.wav,4000,15.744,inf,13.42674412,251.9246804,0.625186016,0.020431531,0.797990016,7.675810228
0001702.wav,4000,19.296,inf,155.5797367,423.8283767,0.245745988,0.006940371,0.573889338,22.94301058
0001703.wav,4000,14.688,inf,84.68176547,403.524403,0.163930564,0.007605138,0.318707387,17.11967875
0001704.wav,4000,12.752,inf,22.85978207,295.0816216,0.614335865,0.015869212,0.740981134,11.55839577
0001705.wav,4000,20.496,inf,37.21527293,429.1438236,0.36632245,0.005633988,0.393240143,10.8473211
0001706.wav,4000,19.552,inf,30.68245037,503.9877888,0.0210248,0.002320075,0.292788348,8.679534793
0001707.wav,4000,21.392,inf,53.29828391,452.2333447,0.221092357,0.010062372,0.584094259,15.90457149
0001708.wav,4000,21.392,inf,15.48474425,294.4552251,0.740231787,0.019979148,0.822452042,14.19727856
0001709.wav,4000,15.744,inf,13.54841256,313.6193827,0.68070248,0.018135815,0.836466155,11.92464984
0001710.wav,4000,9.088,inf,1109.696357,611.903715,0.165320275,0.012566933,0.58167773,64.72437846
0001711.wav,4000,20.8,inf,131.6676529,494.0582504,0.125556734,0.005556879,0.45653204,28.6221005
0001712.wav,4000,29.392,inf,28.06933493,423.0841839,0.437587605,0.014492266,0.711273811,15.56214162
0001713.wav,4000,30.448,inf,26.02306596,484.8904054,0.074664095,0.003384228,0.371832031,8.51493446
0001714.wav,4000,30.496,inf,46.92947792,458.0007534,0.085879878,0.004584793,0.261868079,17.52661197
0001715.wav,4000,30.352,inf,260.2545433,393.9270711,0.375329919,0.003957251,0.326263908,25.24688569
0001716.wav,4000,32.352,inf,422.4059817,576.1262436,0.204089691,0.003886867,0.300410848,35.06676101
0001717.wav,4000,29.792,inf,126.6501102,362.0100971,0.635186418,0.005286706,0.496859235,26.76956969
0001718.wav,4000,30.4,inf,115.6507706,364.8917921,0.70584392,0.003335655,0.434153959,26.73795399
0001719.wav,4000,29.392,inf,78.44768979,308.0618002,0.682978606,0.009336703,0.670878922,26.87724727
0001720.wav,4000,29.488,inf,165.7224244,357.6003771,0.493978448,0.00996623,0.590024847,33.81776663
0001721.wav,4000,29.392,inf,123.5509865,353.7222019,0.280904659,0.008013511,0.455918797,20.52519917
0001722.wav,4000,29.152,inf,34.16057842,499.4956873,0.082909412,0.003594113,0.481768063,14.62803588
0001723.wav,4000,26.992,inf,140.4982605,436.2898303,0.044551987,0.001183925,0.075758346,14.84450037
0001724.wav,4000,30.848,inf,481.3489075,521.4964336,0.081730037,0.005029664,0.269219694,33.85267797
0001725.wav,4000,28.448,inf,118.0432893,337.0399548,0.549883204,0.003597466,0.383330666,31.35216468
0001726.wav,4000,32.752,inf,627.1509121,450.9523282,0.20079747,0.005115173,0.365722981,37.76231975
0001727.wav,4000,29.952,inf,213.2577815,353.5379075,0.184770349,0.004650432,0.382342026,31.93853046
0001728.wav,4000,28.304,inf,26.60018259,282.8295075,0.737838635,0.009609551,0.76826707,19.78640232
0001729.wav,4000,27.248,inf,214.4488481,368.1110124,0.434324428,0.00974629,0.621787673,40.34361778
0001730.wav,4000,15.952,inf,158.0247658,374.7914946,0.380021016,0.016361823,0.720922179,27.49315178
0001731.wav,4000,23.888,inf,84.10314493,380.9857505,0.233826225,0.006025819,0.463239535,18.80466775
0001732.wav,4000,15.296,inf,38.56453864,329.5883787,0.541075113,0.013926623,0.730633506,24.02174837
0001733.wav,4000,23.904,inf,18.59462252,283.7401334,0.6195219,0.01654307,0.834940727,9.673159962
0001734.wav,4000,31.056,inf,629.6486401,558.9623809,0.138570723,0.003828485,0.237556965,45.86719526
0001735.wav,4000,34.592,inf,331.8967418,604.8312095,0.088078954,0.001983481,0.329938553,31.71294636
0001736.wav,4000,30.096,inf,117.6064897,475.602637,0.294220445,0.00755564,0.543096835,24.20522533
0001737.wav,4000,37.952,inf,443.7311831,601.0620542,0.140882687,0.00327492,0.211246251,41.56806196
0001738.wav,4000,28.96,inf,516.839187,465.4398275,0.171675769,0.006282655,0.398475084,42.55461279
0001739.wav,4000,31.056,inf,346.4353922,437.5059627,0.247536699,0.005031574,0.344459974,35.4347621
0001740.wav,4000,29.344,inf,67.36490631,362.1077396,0.646225231,0.007338333,0.567807176,26.14956077
0001741.wav,4000,29.792,inf,134.188719,408.2008164,0.632109158,0.005679314,0.635728185,33.31197812
0001742.wav,4000,33.744,inf,29.14213722,454.3074414,0.073412477,0.006847283,0.566684663,14.31259779
0001743.wav,4000,31.296,inf,70.06266723,476.3863911,0.102167737,0.005598206,0.385899301,14.32025624
0001744.wav,4000,29.088,inf,39.72136604,279.1004134,0.570800881,0.011689954,0.624515995,20.99533748
0001745.wav,4000,33.184,inf,161.331105,352.9334917,0.253563954,0.012415607,0.560046053,32.74116327
0001746.wav,4000,43.888,inf,16.30514759,377.5208521,0.023512825,0.007143977,0.460730637,5.952396091
0001747.wav,4000,35.36,inf,62.07343275,374.7141413,0.280599826,0.004863184,0.328004806,18.28866807
0001748.wav,4000,31.152,inf,37.25893006,343.0875304,0.435545598,0.007583055,0.538280064,15.27798495
0001749.wav,4000,30.192,inf,43.25152058,277.1546215,0.582503692,0.005503029,0.581083681,16.52643199
0001750.wav,4000,29.552,inf,49.46448268,321.4701738,0.656957757,0.004868279,0.500165137,19.28468111
0001751.wav,4000,21.088,inf,16.24939136,352.7974422,0.381124198,0.010614757,0.694484624,9.340932201
0001752.wav,4000,37.088,inf,8.362372546,420.7807338,0.069098276,0.009455185,0.625980412,8.889198805
0001753.wav,4000,30.992,inf,237.1018025,427.5601764,0.305727109,0.018064123,0.707467872,38.30437868
0001754.wav,4000,30.16,inf,134.2072128,439.3795072,0.45640537,0.01318103,0.640613247,33.25473732
0001755.wav,4000,29.744,inf,79.21674028,487.018478,0.104420607,0.00797964,0.566883737,18.88113721
0001756.wav,4000,30.992,inf,16.0485977,343.4996947,0.314662085,0.00510263,0.644341417,9.541509095
0001757.wav,4000,31.36,inf,16.59411169,330.7792858,0.540798547,0.009349645,0.682467413,12.80282544
0001758.wav,4000,31.84,inf,12.99885586,398.5467756,0.231341053,0.00687068,0.788083223,12.30151798
0001759.wav,4000,31.648,inf,37.59743241,368.584008,0.154718016,0.009179849,0.492610681,9.557235816
0001760.wav,4000,30.896,inf,19.34988268,358.6217846,0.654016991,0.014366415,0.827138948,17.37603767
0001761.wav,4000,29.552,inf,11.52456555,298.7087337,0.496596862,0.012122821,0.739818289,5.079195138
0001762.wav,4000,30.4,inf,7.456673898,303.8079413,0.578671146,0.016100112,0.884415655,5.107089435
0001763.wav,4000,29.152,inf,232.5949193,405.9598727,0.214789329,0.005627676,0.393811046,26.49223716
0001764.wav,4000,46.496,inf,382.2223478,564.3534674,0.054859931,0.001836607,0.169249876,32.33140424
0001765.wav,4000,25.696,inf,190.4127568,382.1245858,0.273207482,0.003000336,0.296853545,22.01419276
0001766.wav,4000,31.584,inf,591.4406369,533.1955352,0.20440115,0.004333688,0.338226832,41.39404282
0001767.wav,4000,36.192,inf,10.54750502,606.8343608,0.107846238,0.006817228,0.645275955,8.936925531
0001768.wav,4000,30,inf,82.67215919,402.7260815,0.381585328,0.007320504,0.491067593,22.31264767
0001769.wav,4000,41.696,inf,77.70261169,585.3548477,0.348636528,0.015565009,0.718010328,24.65403145
0001770.wav,4000,21.456,inf,48.76597355,867.8146706,0.097041641,0.012295737,0.633029508,21.07788789
0001771.wav,4000,25.056,inf,34.97961397,842.7864449,0.065310689,0.004937326,0.633749402,11.07551264
0001772.wav,4000,15.008,inf,109.5299633,431.3469893,0.36681504,0.009228628,0.439939954,31.51358266
0001773.wav,4000,15.584,inf,77.89308596,413.2768695,0.133834382,0.004885669,0.420934192,15.10441872
0001774.wav,4000,14.592,inf,70.25681431,325.8623686,0.564997331,0.020363754,0.766673486,32.27560617
0001775.wav,4000,16.496,inf,63.07103517,311.5999187,0.619377036,0.009109648,0.786853835,19.61615284
0001776.wav,4000,32.256,inf,679.6926376,574.313729,0.122030919,0.005654446,0.374404941,47.63512643
0001777.wav,4000,32.4,inf,334.1346515,469.0236129,0.161733252,0.006296248,0.430132967,35.96402257
0001778.wav,4000,29.152,inf,149.1865106,420.3220036,0.533329189,0.007604942,0.510348254,29.73659044
0001779.wav,4000,29.392,inf,296.6549975,489.996701,0.331281286,0.004565695,0.396445326,36.18999058
0001780.wav,4000,32.496,inf,206.7831389,383.9804813,0.465577808,0.005815284,0.369172843,28.64197523
0001781.wav,4000,31.28,inf,142.6360029,426.2129884,0.431514228,0.006545692,0.423557952,29.53843654
0001782.wav,4000,30.448,inf,160.8150632,290.3308127,0.604278016,0.009012099,0.562472652,28.35277596
0001783.wav,4000,30.864,inf,139.7994951,351.5512058,0.52973637,0.004699592,0.486067756,27.87179557
0001784.wav,4000,31.92,inf,36.38096873,454.6833477,0.246185917,0.011738584,0.558582181,15.92285081
0001785.wav,4000,30.096,inf,87.50974428,452.9024855,0.132472129,0.007336521,0.423522112,20.6587
0001786.wav,4000,26.896,inf,78.93074164,422.6594866,0.227041889,0.006318521,0.364201478,22.40605282
0001787.wav,4000,17.056,inf,15.02377699,452.7869363,0.031836194,0.003629241,0.430160433,5.601918856
0001788.wav,4000,31.088,inf,160.6315438,423.1864759,0.174049699,0.004034477,0.363665635,23.01676735
0001789.wav,4000,29.696,inf,249.1165741,561.1740579,0.253799945,0.010070931,0.535503421,39.96507157
0001790.wav,4000,25.68,inf,248.6690543,389.0922858,0.384590464,0.006749767,0.687677047,40.52288071
0001791.wav,4000,22.992,inf,66.43732529,352.4168334,0.614485941,0.006045536,0.656677893,17.97968682
0001792.wav,4000,29.696,inf,118.171369,619.9776313,0.434730537,0.010868912,0.616521027,29.86885402
0001793.wav,4000,29.584,inf,51.5203608,509.032414,0.481959083,0.00804689,0.548589608,13.31038642
0001794.wav,4000,29.152,inf,32.44908213,405.704952,0.276283452,0.004801455,0.295194103,10.21653426
0001795.wav,4000,30.592,inf,25.98967092,307.3513501,0.789907321,0.004249879,0.537605169,9.817363594
0001796.wav,4000,29.344,inf,433.4464095,462.5919176,0.229211931,0.004600614,0.386585848,31.51724385
0001797.wav,4000,33.888,inf,485.110137,565.4070144,0.079784845,0.002332875,0.256560452,31.01734073
0001798.wav,4000,30.496,inf,518.1131055,399.667754,0.370967834,0.005317348,0.525526837,39.24048185
0001799.wav,4000,30.992,inf,453.7113845,513.3304684,0.207817062,0.003269263,0.402683078,33.95400683
0001800.wav,4000,30.24,inf,277.9813361,410.764053,0.200690527,0.010781036,0.68845595,43.59766316
0001801.wav,4000,30.288,inf,452.6981346,400.2946952,0.296206099,0.010841652,0.601660862,45.40014141
0001802.wav,4000,30.848,inf,31.73823245,323.126114,0.58971214,0.009770153,0.750971394,19.28488477
0001803.wav,4000,30.144,inf,42.49408917,371.9445125,0.738438843,0.010549191,0.792338001,23.24184434
0001804.wav,4000,31.792,inf,35.04126843,467.3926413,0.042360013,0.00477966,0.295525093,8.134614578
0001805.wav,4000,31.648,inf,7.772080588,564.9133739,0.017984861,0.002665874,0.631197744,3.839485968
0001806.wav,4000,24.336,inf,18.00817757,258.9759805,0.770013305,0.013647531,0.81582394,13.04123519
0001807.wav,4000,32.56,inf,21.8364325,597.6179182,0.529494405,0.008582411,0.890373012,7.611923959
0001808.wav,4000,35.648,inf,9.085937512,338.3346962,0.269653325,0.012509889,0.927900634,4.421945447
0001809.wav,4000,36.288,inf,17.35330709,473.2489927,0.633523098,0.012691749,0.925290381,10.26849725
0001810.wav,4000,30.192,inf,314.72675,406.6965392,0.314941269,0.011489704,0.61204255,39.42468507
0001811.wav,4000,32.096,inf,84.77205978,391.6247571,0.365225271,0.010977034,0.587804446,20.35305476
0001812.wav,4000,30.592,inf,73.85283372,335.4561586,0.577919619,0.008463523,0.651593166,20.34737405
0001813.wav,4000,30.4,inf,19.55360105,289.9869285,0.611510494,0.010875511,0.636456283,7.652121971
0001814.wav,4000,29.44,inf,121.617151,380.0067678,0.249752995,0.007181426,0.375346257,20.32338915
0001815.wav,4000,29.952,inf,114.6945353,308.6797766,0.192919162,0.005567428,0.306404485,18.59589823
0001816.wav,4000,29.84,inf,116.9701195,354.2427844,0.243618844,0.00528041,0.311986341,16.75156119
0001817.wav,4000,30.096,inf,63.44707818,282.0370278,0.451106719,0.006276138,0.495369114,15.93749348
0001818.wav,4000,30.688,inf,130.8052325,403.2143562,0.092715993,0.00542799,0.265926919,16.95995867
0001819.wav,4000,30.64,inf,57.34853708,464.7045432,0.102703316,0.006262092,0.451959056,13.9260613
0001820.wav,4000,30.592,inf,110.6935759,389.4119878,0.38296286,0.00674589,0.579002271,19.154132
0001821.wav,4000,27.104,inf,99.72178818,355.5387364,0.473975104,0.002627944,0.471412844,24.68076151
0001822.wav,4000,22.704,inf,178.5884544,594.8200728,0.062872407,0.007041747,0.398383484,25.37240828
0001823.wav,4000,24.352,inf,103.3309976,342.0052272,0.286498738,0.010532718,0.577308402,19.11946974
0001824.wav,4000,19.984,inf,77.76070297,375.626243,0.489081756,0.005704509,0.296715318,17.64670896
0001825.wav,4000,29.776,inf,41.49820507,423.8348748,0.462582279,0.009913574,0.621763516,14.7028743
0001826.wav,4000,30.992,inf,48.20267587,365.97688,0.333926371,0.008420296,0.525274741,12.39537176
0001827.wav,4000,29.888,inf,121.0629876,420.6559566,0.559741324,0.009492617,0.59888538,37.92611406
0001828.wav,4000,26.976,inf,66.80780377,490.9704039,0.190078629,0.011931181,0.582381704,17.69375171
0001829.wav,4000,30.96,inf,88.6744432,371.1412186,0.111635264,0.005719634,0.507725841,15.08982045
0001830.wav,4000,30.496,inf,21.63834263,234.3849917,0.551198726,0.006195723,0.610442295,9.959466087
0001831.wav,4000,29.344,inf,116.2802569,342.5223345,0.521721442,0.011012323,0.602146464,34.05749254
0001832.wav,4000,34.144,inf,160.1516396,373.3660577,0.199023548,0.012032705,0.571007082,36.65733633
0001833.wav,4000,30.544,inf,74.20375274,366.2438577,0.534853654,0.012013378,0.523632384,32.87106339
0001834.wav,4000,35.792,inf,80.64518533,357.1441824,0.375278391,0.006520614,0.53038569,29.13779103
0001835.wav,4000,38.096,inf,139.781455,505.9511954,0.150016941,0.005181797,0.437419153,21.55763141
0001836.wav,4000,35.856,inf,101.491391,460.0730748,0.254816095,0.002667636,0.331372338,23.9016959
0001837.wav,4000,35.296,inf,100.0369837,392.5843596,0.333459215,0.009963263,0.61085184,19.78016307
0001838.wav,4000,35.344,inf,133.2629896,505.9982562,0.104469723,0.005316593,0.367083436,18.22976581
0001839.wav,4000,31.488,inf,50.71351966,341.969727,0.489539856,0.011041864,0.627838851,20.33979586
0001840.wav,4000,31.392,inf,57.37632717,311.3061115,0.401550899,0.014992424,0.644563293,20.20818811
0001841.wav,4000,30.352,inf,240.1006412,368.5078499,0.16152651,0.006911425,0.415923034,29.21079605
0001842.wav,4000,29.792,inf,311.6614137,465.4407717,0.178844772,0.006671206,0.466409787,31.63042821
0001843.wav,4000,15.552,inf,228.0232992,392.7516089,0.273697673,0.011967497,0.535356882,31.67564149
0001844.wav,4000,19.456,inf,90.21444881,266.7312613,0.641763495,0.007686443,0.5822599,26.57392396
0001845.wav,4000,14.656,inf,34.84834217,269.8159941,0.759498715,0.013147509,0.703977408,19.50107363
0001846.wav,4000,29.744,inf,507.0932227,409.9097361,0.16645164,0.006154016,0.326623159,36.34558302
0001847.wav,4000,37.696,inf,249.3860247,533.2419843,0.260110335,0.009388032,0.599730304,28.92491889
0001848.wav,4000,29.36,inf,81.41448869,402.3782084,0.605847887,0.007081237,0.541845613,23.32878694
0001849.wav,4000,30.352,inf,63.62123529,398.5468949,0.555841783,0.006888858,0.654746939,19.45657449
0001850.wav,4000,33.696,inf,88.85756643,335.3834628,0.309837657,0.009203422,0.519111758,23.39201236
0001851.wav,4000,23.792,inf,13.95570238,357.240241,0.562029683,0.014627504,0.892495126,10.074364
0001852.wav,4000,24.48,inf,32.9088411,304.0834468,0.683066055,0.015700814,0.791010133,14.55610998
0001853.wav,4000,25.152,inf,17.09265914,302.6822787,0.704844393,0.014651695,0.848351842,6.247622843
0001854.wav,4000,21.424,inf,12.09687304,351.6568565,0.276111419,0.014560798,0.61047865,5.689926861
0001855.wav,4000,15.424,inf,9.340134224,290.9446437,0.528201954,0.022246685,0.788760787,4.904755977
0001856.wav,4000,31.68,inf,148.6116606,502.7150526,0.074533262,0.001919453,0.378079747,20.87381106
0001857.wav,4000,31.296,inf,297.9010753,459.567968,0.042791362,0.001889802,0.438404232,23.16826854
0001858.wav,4000,27.552,inf,80.19179394,417.1317624,0.049067961,0.001909312,0.34460119,12.78912847
0001859.wav,4000,29.28,inf,211.0046501,446.6117405,0.048937066,0.002001076,0.164938968,21.14408968
0001860.wav,4000,31.392,inf,90.30668602,409.293842,0.025006988,0.001420364,0.107038107,11.09466542
0001861.wav,4000,30.944,inf,216.421814,432.2392368,0.184751366,0.006450683,0.388277065,21.72763113
0001862.wav,4000,27.888,inf,62.45314324,541.0676652,0.151251945,0.011798307,0.623663262,16.44521344
0001863.wav,4000,29.44,inf,179.5837351,320.4204028,0.466458271,0.010342859,0.647202062,27.89922544
0001864.wav,4000,29.344,inf,101.2054678,402.1169959,0.123854512,0.004080799,0.317790493,14.70215539
0001865.wav,4000,27.248,inf,47.38543149,255.455246,0.593476401,0.008210604,0.599265529,18.85337243
0001866.wav,4000,30.496,inf,46.1922381,359.7251723,0.445359355,0.006172681,0.428832786,13.045274
0001867.wav,4000,31.888,inf,458.5190456,432.2975928,0.230253062,0.002796473,0.363713715,32.27300447
0001868.wav,4000,25.76,inf,914.0572955,578.7636826,0.175066592,0.002951662,0.306454488,41.38860494
0001869.wav,4000,25.888,inf,466.5541643,491.4711505,0.207608432,0.002608524,0.405700036,30.64190852
0001870.wav,4000,26.992,inf,627.4382012,626.6907605,0.112640678,0.00314762,0.21596189,36.27347763
0001871.wav,4000,30.896,inf,472.61624,440.5196686,0.222550011,0.011979269,0.620975501,48.73775893
0001872.wav,4000,30.688,inf,301.8995203,396.8969428,0.308877624,0.015383484,0.633989199,43.10992532
0001873.wav,4000,23.056,inf,169.9105249,297.3570039,0.423766976,0.011673287,0.560525826,24.90541439
0001874.wav,4000,24.544,inf,48.09535273,225.0975908,0.558505915,0.010217007,0.83060952,18.04485472
0001875.wav,4000,21.344,inf,13.43633859,181.5847394,0.839494152,0.009019947,0.804346643,9.173896614
0001876.wav,4000,22.496,inf,17.66568359,219.7679932,0.752779411,0.008450471,0.752021396,13.16787695
0001877.wav,4000,28.944,inf,162.2830765,382.8040824,0.249104094,0.004621445,0.211569678,24.95347656
0001878.wav,4000,29.696,inf,108.9527401,363.9606439,0.493339021,0.005056581,0.612422053,30.24509937
0001879.wav,4000,28.96,inf,411.9618035,382.7965757,0.323892528,0.009564186,0.579712661,42.47459445
0001880.wav,4000,29.184,inf,65.11505879,408.773103,0.718751486,0.003374736,0.478714393,17.90933942
0001881.wav,4000,32.752,inf,14.02755374,430.0308124,0.117146903,0.007906696,0.537122901,4.971296845
0001882.wav,4000,29.6,inf,10.47832835,411.1730828,0.090811472,0.007620121,0.385483237,4.265033994
0001883.wav,4000,28.992,inf,52.99141454,260.0929409,0.645328335,0.008143802,0.587803729,22.140293
0001884.wav,4000,28.752,inf,187.6034209,325.1205663,0.430435496,0.005235419,0.620170798,32.95871567
0001885.wav,4000,29.088,inf,60.19541679,323.8280866,0.690159865,0.005640298,0.761120535,24.14737029
0001886.wav,4000,31.2,inf,82.87545047,335.1379588,0.554303867,0.004859101,0.536065258,22.79339044
0001887.wav,4000,20.304,inf,93.83531348,265.2937464,0.51850964,0.005214035,0.485961246,19.42573591
0001888.wav,4000,24.192,inf,179.8270024,333.5627395,0.452106771,0.004212032,0.353932572,25.28152482
0001889.wav,4000,24.4,inf,79.60285537,316.0966215,0.463622134,0.003268528,0.41575298,15.2164605
0001890.wav,4000,22.848,inf,165.560134,360.1787326,0.450927589,0.003588441,0.44919144,23.47285453
0001891.wav,4000,30.336,inf,30.82200477,322.5572499,0.186814706,0.011174651,0.87373423,18.34765115
0001892.wav,4000,31.248,inf,22.40551769,271.9375457,0.576514967,0.017946453,0.874901489,13.08956845
0001893.wav,4000,31.088,inf,15.2950886,245.5199171,0.332587148,0.017139488,0.883757896,14.45735859
0001894.wav,4000,31.056,inf,24.03908954,340.2141796,0.361511796,0.010476203,0.626491565,11.77153755
0001895.wav,4000,30.144,inf,34.13819694,388.0482599,0.097893796,0.004501242,0.449194315,9.023973199
0001896.wav,4000,22.544,inf,21.13619523,309.3084352,0.48658328,0.015913631,0.803051936,12.17733865
0001897.wav,4000,32.384,inf,312.8182502,470.0232182,0.171863906,0.002057351,0.263855919,24.13896682
0001898.wav,4000,29.856,inf,298.1043224,474.0937556,0.162235351,0.003152055,0.374918621,28.24358302
0001899.wav,4000,30.848,inf,439.9747461,520.8216766,0.197748664,0.003936878,0.431651498,31.95949562
0001900.wav,4000,34.4,inf,73.84274657,422.3085727,0.644180653,0.00349924,0.764137358,18.92610193
0001901.wav,4000,31.76,inf,150.2590589,675.3564991,0.112435242,0.002901389,0.583708919,29.16588346
0001902.wav,4000,31.744,inf,725.2581955,420.7916441,0.124416787,0.0063496,0.376453448,40.75769497
0001903.wav,4000,32.96,inf,528.4215998,633.8627719,0.096872522,0.002721771,0.228290832,34.08745834
0001904.wav,4000,30.752,inf,721.3958244,491.5662785,0.127319264,0.003757415,0.263791661,43.2811401
0001905.wav,4000,30.784,inf,168.7236243,338.2846806,0.555374666,0.004759847,0.392965205,27.55166555
0001906.wav,4000,31.952,inf,499.5314033,471.2958332,0.214616768,0.003516272,0.208520477,32.39220792
0001907.wav,4000,17.28,inf,389.0782282,330.3282192,0.227452988,0.004207657,0.2991176,28.62941081
0001908.wav,4000,14.848,inf,577.3990793,416.881123,0.158317571,0.002577079,0.196421419,33.30887666
0001909.wav,4000,20.992,inf,42.88449929,417.0486562,0.205240302,0.007559802,0.491648685,14.36329722
0001910.wav,4000,14.56,inf,406.6978229,369.7776745,0.13898273,0.004141973,0.266676331,27.69746283
0001911.wav,4000,17.392,inf,588.3220732,399.1004451,0.155301673,0.002936805,0.242245044,34.98637538
0001912.wav,4000,25.36,inf,48.29004435,428.0266878,0.099907297,0.006022204,0.369330927,10.64587705
0001913.wav,4000,22.88,inf,79.85647184,386.4623527,0.110438662,0.005815686,0.361775221,16.02396725
